Accession,Species,Expected_Type,Expected_Class,Notes
GCA_019114645.1,Candidatus Halomonas stercoripullorum,Unknown,Unknown,Table3
GCF_055382465.1,Halomonas garicola,Unknown,Unknown,Table3
GCF_030409265.1,Halomonas sabkhae,Unknown,Unknown,Table3
GCF_000265245.1,Halomonas smyrnensis AAD6,Unknown,Unknown,Table3
GCF_902500215.1,Halomonas lysinitropha,Unknown,Unknown,Table3
GCF_003202165.1,Halomonas heilongjiangensis,Unknown,Unknown,Table3
GCF_004347715.1,Halomonas marinisediminis,Unknown,Unknown,Table3
GCF_040070555.1,Halomonas sp. H10-59,Unknown,Unknown,Table3
GCF_034479615.1,Halomonas alkaliantarctica,Unknown,Unknown,Table3
GCF_030406665.1,Halomonas halophila,Unknown,Unknown,Table3
GCF_025820815.1,Halomonas qinghailakensis,Unknown,Unknown,Table3
GCF_014192215.1,Halomonas cerina,Unknown,Unknown,Table3
GCF_001431725.1,Halomonas huangheensis,Unknown,Unknown,Table3
GCF_009902005.1,Halomonas alimentaria,Unknown,Unknown,Table3
GCF_040196335.1,Halomonas aquatica,Unknown,Unknown,Table3
GCF_006540005.1,Halomonas halmophila,Unknown,Unknown,Table3
GCF_012062845.1,Halomonas salinarum,Unknown,Unknown,Table3
GCF_014897985.1,Halomonas colorata,Unknown,Unknown,Table3
GCF_010993975.1,Halomonas faecis,Unknown,Unknown,Table3
GCF_032333995.1,Halomonas saccharevitans,Unknown,Unknown,Table3
GCF_042643535.1,Halomonas tibetensis,Unknown,Unknown,Table3
GCF_023094245.1,Halomonas getboli,Unknown,Unknown,Table3
GCF_031451635.1,Halomonas eurihalina,Unknown,Unknown,Table3
GCF_010977575.1,Halomonas socia,Unknown,Unknown,Table3
GCF_014193375.1,Halomonas campaniensis,Unknown,Unknown,Table3
GCF_003056305.1,Halomonas denitrificans,Unknown,Unknown,Table3
GCF_014192275.1,Halomonas stenophila,Unknown,Unknown,Table3
GCF_014898005.1,Halomonas citrativorans,Unknown,Unknown,Table3
GCF_014192285.1,Halomonas fontilapidosi,Unknown,Unknown,Table3
GCF_031451795.1,Halomonas icarae,Unknown,Unknown,Table3
GCF_030409215.1,Halomonas ramblicola,Unknown,Unknown,Table3
GCF_030010475.1,Halomonas kalidii,Unknown,Unknown,Table3
GCF_040070525.1,Halomonas sp. RT37,Unknown,Unknown,Table3
GCF_001545155.1,Halomonas chromatireducens,Unknown,Unknown,Table3
GCF_003045775.1,Halomonas litopenaei,Unknown,Unknown,Table3
GCF_900104135.1,Halomonas shengliensis,Unknown,Unknown,Table3
GCF_004363555.1,Halomonas ventosae,Unknown,Unknown,Table3
GCF_023554995.1,Halomonas gemina,Unknown,Unknown,Table3
GCF_055379665.1,Halomonas cibimaris,Unknown,Unknown,Table3
GCF_054654615.1,Halomonas shantousis,Unknown,Unknown,Table3
GCF_900116705.1,Halomonas korlensis,Unknown,Unknown,Table3
GCF_001886615.1,Halomonas aestuarii,Unknown,Unknown,Table3
GCF_022487945.1,Halomonas flagellata,Unknown,Unknown,Table3
GCF_013183775.1,Halomonas hibernica,Unknown,Unknown,Table3
GCF_001039575.1,Halomonas sp. PR-M31,Unknown,Unknown,Table3
GCF_000196875.2,Halomonas elongata,Unknown,Unknown,Table3
GCF_030409305.1,Halomonas maura,Unknown,Unknown,Table3
GCF_003056325.1,Halomonas sp. BN3-1,Unknown,Unknown,Table3
GCF_018448785.1,Halomonas jincaotanensis,Unknown,Unknown,Table3
GCF_050215505.1,Halomonas casei,Unknown,Unknown,Table3
GCF_008329985.2,Halomonas binhaiensis,Unknown,Unknown,Table3
GCF_055382475.1,Halomonas beimenensis,Unknown,Unknown,Table3
GCF_021412585.1,Halomonas alkalisoli,Unknown,Unknown,Table3
GCF_030012485.1,Halomonas rhizosphaerae,Unknown,Unknown,Table3
GCF_024790395.1,Halomonas dongshanensis,Unknown,Unknown,Table3
GCF_900142755.1,Halomonas cupida,Unknown,Unknown,Table3
GCF_030505695.1,Halomonas alkalicola,Unknown,Unknown,Table3
GCF_039691755.1,Halomonas kashgarensis,Unknown,Unknown,Table3
GCF_005780185.1,Halomonas urmiana,Unknown,Unknown,Table3
GCF_014192055.1,Halomonas organivorans,Unknown,Unknown,Table3
GCF_009363675.1,Halomonas sp. THAF12,Unknown,Unknown,Table3
GCF_023555005.1,Halomonas llamarensis,Unknown,Unknown,Table3
GCF_031886125.1,Halomonas piscis,Unknown,Unknown,Table3
GCF_040196315.1,Halomonas pelophila,Unknown,Unknown,Table3
GCF_052496345.1,Halomonas mongoliensis,Unknown,Unknown,Table3
GCF_900109725.1,Halomonas daqiaonensis,Unknown,Unknown,Table3
GCF_003966155.1,Halomonas nitroreducens,Unknown,Unknown,Table3
GCF_002286975.1,Halomonas salipaludis,Unknown,Unknown,Table3
GCF_031451675.1,Halomonas koreensis,Unknown,Unknown,Table3
GCF_025917315.1,Halomonas qaidamensis,Unknown,Unknown,Table3
GCF_030409235.1,Halomonas almeriensis,Unknown,Unknown,Table3
GCF_001662285.1,Halomonas caseinilytica,Unknown,Unknown,Table3
GCF_003028575.1,Halomonas urumqiensis,Unknown,Unknown,Table3
GCF_004798905.1,Halomonas borealis,Unknown,Unknown,Table3
